"bb ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sanctioned works as on 09/06/2026","","","","","150","","","","","","","","","","","","","","","","","","","","","","",""
"","Works Deleted  up to  09/06/2026","","","","","48","","","","","","","","","","","","","","","","","","","","","","",""
"","Works Recommended for Deletion","","","","","01 (OSOP) with RB","","","","","","","","","","","","","","","","","","","","","","",""
"","PROJECTID","Year of Sanction","Year UB Works","Status","Date of sanction","Short Name of Work","Block Section Station","ALLOCATION","","","","","ENGG. REMARKS (as on 06.08.24)","IF UB?","PARENT WORK","Section","Anticipated Expenditure for Revised Grant
 Jan 2025 - Mar2025","Remarks","Column 29","Column 1","Column 2","Column 3","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10"
"126","14.01.53.25.3.00.001","2025-2026","UB 2024-25","Work in Progress","19/06/2025","Provision of Quick coach watering system for all 6 platforms at BWT station .","Stn: BWT","Cap","25119","0","0","0.00","","","Setting up of quick watering arrangements at stations (Umbrella Work 2024-25)","East","","NIT opened on 24/09/2025, LOA Issued on 19/11/25. Work to be started.","","","","","","","","","","",""
"127","14.00.53.24.1.00.003","2025-2026","UB 2024-25","Work in Progress","20/06/2025","Construction of FOB with stairs with one lift & Provision of HL platform at PF No.1 at KIAT station.","Stn: KIAT","Cap","57027","0","0","0.00","","","Provision of foot over bridges / high level platforms at stations (Umbrella Work 2024-25)","North","","LOA issued on 30/01/26, GAD Under Approval with HQ","","","","","","","","","","",""
"128","14.01.53.25.3.00.003","2025-2026","UB 2024-25","Work in Progress","20/06/2025","Provision of Lifts in SBC division under Amrith Bharath Scheme (Additional 10 Nos.)","ABSS","Cap","25664","0","0","0.00","","","Provision of minimum essential amenities and Divyangjan facilities at stations (Umbrella Work 2024-25)","GSU","","PO Issued","","","","","","","","","","",""
"129","14.01.53.25.3.50.004","2025-2026","UB 2024-25","Work in Progress","08.08.2025","Proposal for the Provision of CCTV Cameras at 9 Goods Shed over SBC Division.
(NMGA, BWT, DKN, MAD, MYA, SET, DBU, KDAG & PKD)","Stn: NMGA, BWT, DKN, MAD, MYA, SET, DBU, KDAG & PKD","Cap","14601","0","0","0.00","","","Provision of parcel & goods shed related facilities on zonal Railways (Umbrella Work 2024-25)","Sr.DSTE","#REF!","Retender opened on 19.02.26, LOA issued on 16.03.26, installation of CCTV at NDV started on 25.05.26, other stations will follow. ","","","","","","","","","","",""
"130","14.00.53.24.1.00.002","2025-2026","UB 2024-25","Work in Progress","15/10/25","Consultancy study by RITES for Rush Management plan and Passengers holding area of 3 stations of SWR - SBC , YPR & SMVB","Stn: SBC , KJM, YPR & SMVB","Cap","14302","0","0","","","","Upgradation of stations (Umbrella Work 2024-25)","HQ","","LOA Issued on 04-11-2025","","","","","","","","","","",""
"131","14.01.53.25.3.50.006","2025-2026","UB 2024-25","Works under Tender Process","11/11/2025","Improvements to Divyangjan facilities at TCL, KSM, BSM, GDP, MAR, PU, COL, OGM, CHU, KQZ, SVS & CMY Stations","Stn: TCL, KSM, BSM, GDP, MAR, PU, COL, OGM, CHU, KQZ, SVS & CMY","Cap","14007","0","0","","","","Provision of minimum essential amenities and Divyangjan facilities at stations (Umbrella Work 2024-25)","East","","Detailed estimate sanctioned on 23.12.25. 
Tender called on 16.04.2026 & opened on 11.05.2026, under finalisation.","","","","","","","","","","",""
"132","14.01.53.25.3.50.009","2025-2026","UB 2024-25","Work in Progress","16/12/2025","Extension of PF-1 and PF-2 for a length of 150 meters and 5 metres width at KNDV Station.","Stn: KNDV","Cap","16516","0","","","","","Provision of foot over bridges / high level platforms at stations (Umbrella Work 2024-25)","West","","Detailed estimate sanctioned. Tender opened on 26.02.26. LOA Issued on 17.04.2026","","","","","","","","","","",""
"133","14.01.53.25.3.50.010","2025-2026","UB 2024-25","Work in Progress","18/12/2025","Proposal for installation of five-line Two Line and Single-line electronic train information Boards at 18 Railway Stations.","Division","Cap","98483","0","","","","","Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenities items (Umbrella Work 2024-25)","","","Tender floated on 09/03/26 opened on 31/03/26. LOA issued on 01/06/26","","","","","","","","","","",""
"134","14.01.53.25.3.50.007","2025-2026","UB 2025-26","Works under Tender Process","18/11/2025","Provision of two Lifts at Gowribidanur (GBD) Railway Station.","Stn: GBD","Cap","10054","0","0","","","","Provision of lifts at stations (Sugamya Bharat Abhiyan) (Phase-III) (Umbrella work 2025-26)","North","","Engg: Tender opened on 19.02.26, LOA issued on 25.0526.
Elec: Indent forwarded to HQ on 18.06.2026 duly providing remarks of CEGE/SWR observation. ","","","","","","","","","","",""
"135","14.01.53.25.3.50.008","2025-2026","UB 2025-26","Works under Tender Process","27/11/2025","Provision of two escalators (Down Direction) at PF-1 & PF-2/3 of Kengeri (KGI) Railway Station.","Stn: KGI","Cap","15503","0","","","","","Provision of escalators on platforms over Indian Railways with average footfall more than 25000 per day (Phase-III) (Umbrella work 2025-26)","west","","Engg: Shaft work completed
Elec: Indent approved by HQ, Tender opened on 01.06.26, under finalisation.","","","","","","","","","","",""
"136","14.01.53.25.3.50.011","2025-2026","UB 2024-25","Work in Progress","14/01/2026","Proposal for the extension of FOB from PF-1 to Circulating area with stairs and Provision of 1 Lift at NDV Railway Station.","Stn: NDV","Cap","29872","0","","","","","Upgradation of stations (Umbrella Work 2024-25)","","","Detailed Estimate sanctioned on 10.02.26. Tender opened on 16.03.26, LOA issued on 19.05.26.","","","","","","","","","","",""
"137","14.01.53.25.3.30.012","2025-2026","UB 2024-25","Works under Tender Process","11/03/2026","Proposal for the Upgradation of CSDR Railway Station under ABSS","Stn: CSDR","Cap","79587","0","","","","","Upgradation of stations (Umbrella Work 2024-25)","","","Detailed Estimate under preparation, Letter sent to Dy.CE/CN for taking up the work. ","","","","","","","","","","",""
"138","14.00.53.24.1.00.002","2025-2026","UB 2024-25","Works under Tender Process","18/03/2026","Extension of PF- 1 and PF-2 for a length of 95.00 mts with 5 mtr width, Construction of 1 No's of Pay and use Toilet along with Divyangjan Toilet, Drinking water Booths, Platfrom Shelter at Jnana Bharati Halt (GNB) station","Stn: GNB","Cap","24146","0","","","","","Upgradation of stations (Umbrella Work 2024-25)","","","Detailed Estimate vetted and sanctioned on 15.05.26. Tender floated on 15.06.2026, opening on 14.07.2026.","","","","","","","","","","",""
"139","14.01.53.25.3.50.014","2025-2026","UB 2024-25","Works under Tender Process","30/03/2026","        SBC Div : Provision of Divyangjan facilities like Tactile path way at PFs, PFs to Divyangjan Ramp at Circulating area at stations in SBC div","Division","Cap","43183","0","","","","","Upgradation of stations (Umbrella Work 2024-25)","","","Detailed Estimate sanctioned on 28.04.26. Tender called for North sec on 02.06.26 opened on 29.06.26 & Tender called for South Sec on 20.05.26 opened on 15.06.26","","","","","","","","","","",""
"140","14.01.53.25.3.50.015","2025-2026","UB 2024-25","Works under Tender Process","30/03/2026","        SBC-MYS Sec : Construction of OHT of 1.00 Lakh Litre capacity at MAD station in ADEN/MYA sub-division","Stn: MAD","Cap","10091","0","","","","","Upgradation of stations (Umbrella Work 2024-25)","","","Tender opened on 14.05.26, TC under finalisation","","","","","","","","","","",""
"141","14.01.53.25.3.50.016","2025-2026","UB 2024-25","Works under Tender Process","31/03/2026","Replacement of existing Coach Indication Boards (CIB) at SBC & BAND and Provision of Train Information boards at BAND Station.","Stn: SBC, BAND","Cap","19671","0","","","","","Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenities items (Umbrella Work 2024-25)","","","Tender will be floated by 10th july-26 ","","","","","","","","","","",""
"142","14.00.53.24.1.00.003","2025-2026","UB 2024-25","Works under Tender Process","31/03/2026","Extension of Existing Platform Length to accommodate longest stopping train at TDV station.","Stn: TDV","Cap","12860","0","","","","","Provision of foot over bridges / high level platforms at stations (Umbrella Work 2024-25)","","","Detailed Estimate vetted on 28.06.2026, tender to be called.","","","","","","","","","","",""
"","PROJECTID","Year of Sanction","","","Date of sanction","Short Name of Work","Block Section Station","ALLOCATION","","","","","Works involved ","Progress","","","","","","","","","","","","","","",""
"1","14.01.53.23.3.00.016","2023-2024","","","30/03/2024","Bangalore city - Mysore - Construction of Divyangjan facilities in ADEN/MYA Sub - Division","SEC:SBC-MYS Stn: SBC","Cap.","17021","","","","Provision of Divyang facilities like Toilets, drinking warer booths,  railing, non slippery walk ways, ramps, parking lot, engraving of edges of platform, may i help you booth, barille signages, low height ticket and enquiry counters etc. and passenger amenities like pay & use toilets/urinals, trolley path, sinks and benches etc. over ADEM/MYA Section.","","","","","","","","","","","","","","","",""
"2","14.01.53.23.3.00.008","2023-2024","","","19/03/2024","Bangalore city - Provision of Tactile tiles from circulating area to all the platforms for Divyang persons & Improvements to PF surface at SBC","SEC: Stn: SBC","Cap.","20005","","","","Provision of tactile tiles from circulating area to all the platforms in SBC station for divyangjan persons and improvements to the platforms surface in PF-2/3, PF-4(mys end), PF-5/6(ys end), PF-7/8 (AtYPR End) and circulating area at SBC station.","","","","","","","","","","","","","","","",""
"3","14.01.53.23.4.50.004","2023-2024","","","29/09/2023","Bangalore city~~Provision of Passenger Lift at PF- 9/10 on BNC end FOB of SBC station","SEC: Stn: SBC","RRSK","7233","","","","","","","","","Electrical Department : Indents placed, Tender (Stores) under process","","","","","","","","","","",""
"4","14.01.53.23.4.50.007","2023-2024","","","31/10/2023","Bangalore city~~Provision of Passenger Lift to FOB connecting Metro SKY walk on back side of SBC station","SEC: Stn: SBC","RRSK","7506","","","","","","","","","Electrical Department : Indents placed, Tender (Stores) under process","","","","","","","","","","",""
"5","14.01.53.23.4.50.008","2023-2024","","","31/10/2023","Provision of Passenger Lift at PF- 5/6 on BNC end FOB of SBC station","SEC: Stn: SBC","RRSK","9500","","","","","","","","","Electrical Department : Indents placed, Tender (Stores) under process","","","","","","","","","","",""
"6","14.01.53.24.3.00.002","2023-24","","","08/05/2024","SBC-MYS Sec : Construction of FOB at Kettohalli (KHLL) Halt Station connecting Platform No. 1 & 2","CAP","CAP","16671","","","","","","","","","","","","","","","","","","","",""
"7","14.01.53.23.3.00.015","2023-2024","","","30/03/2024 (GM/SWR)","Bangalore city - Mysore - Construction of FOB at Nidaghatta (NZH) Halt Station connecting Platform No. 1 & 2","SEC:SBC-MYS Stn: SBC","Cap.","15981","","","","","","","","","","","","","","","","","","","",""
"8","14.01.53.24.3.00.005","2024-25","","","05/06/2024","Major upgradation/modernisation of infrastructure at NDV goods shed","","CAP","166342","","","","","","","","","","","","","","","","","","","",""
"9","14.01.53.24.3.008","2024-25","","","12/09/2024","Replacement of existing old steel water tank with new OHT of 2 lakh litre capacity with GLR at Tumkur (TK) station","","CAP","11643","","","","","","","","","","","","","","","","","","","",""
